,Qname,Flag,Rname,Pos,MapQ,CIGAR,Organims
33,NZ_CP033723.2_32,145,NZ_CP040788.1,1486285,24,150M,tessellarius_ATCC_33566
34,NZ_CP033723.2_33,97,NZ_CP040788.1,2410634,24,150M,tessellarius_ATCC_33566
35,NZ_CP033723.2_33,145,NZ_CP040788.1,2410514,24,150M,tessellarius_ATCC_33566
36,NZ_CP033723.2_35,97,NZ_CP040788.1,135750,3,150M,tessellarius_ATCC_33566
37,NZ_CP033723.2_35,145,NZ_CP040788.1,135630,3,150M,tessellarius_ATCC_33566
38,NZ_CP033723.2_36,97,NZ_CP040788.1,2298196,40,150M,tessellarius_ATCC_33566
39,NZ_CP033723.2_36,145,NZ_CP040788.1,2298076,40,150M,tessellarius_ATCC_33566
40,NZ_CP033723.2_37,97,NZ_CP040788.1,1955702,1,150M,tessellarius_ATCC_33566
41,NZ_CP033723.2_37,145,NZ_CP040788.1,1351917,1,150M,tessellarius_ATCC_33566
42,NZ_CP033723.2_38,97,NZ_CP040788.1,1048016,0,150M,tessellarius_ATCC_33566
43,NZ_CP033723.2_38,145,NZ_CP040788.1,1047896,0,150M,tessellarius_ATCC_33566
44,NZ_CP033723.2_39,97,NZ_CP040788.1,2349281,8,150M,tessellarius_ATCC_33566
45,NZ_CP033723.2_39,145,NZ_CP040788.1,2349161,8,150M,tessellarius_ATCC_33566
46,NZ_CP033723.2_41,97,NZ_CP040788.1,2240009,23,150M,tessellarius_ATCC_33566
47,NZ_CP033723.2_41,145,NZ_CP040788.1,2239889,23,150M,tessellarius_ATCC_33566
48,NZ_CP033723.2_43,97,NZ_CP040788.1,2555426,24,150M,tessellarius_ATCC_33566
49,NZ_CP033723.2_43,145,NZ_CP040788.1,2555306,24,150M,tessellarius_ATCC_33566
50,NZ_CP033723.2_44,97,NZ_CP040788.1,860321,8,150M,tessellarius_ATCC_33566
51,NZ_CP033723.2_44,145,NZ_CP040788.1,860201,8,150M,tessellarius_ATCC_33566
52,NZ_CP033723.2_45,97,NZ_CP040788.1,2105552,3,150M,tessellarius_ATCC_33566
53,NZ_CP033723.2_45,145,NZ_CP040788.1,2105432,3,150M,tessellarius_ATCC_33566
54,NZ_CP033723.2_47,153,NZ_CP040788.1,2140562,8,150M,tessellarius_ATCC_33566
55,NZ_CP033723.2_48,73,NZ_CP040788.1,1694770,8,150M,tessellarius_ATCC_33566
56,NZ_CP033723.2_49,97,NZ_CP040788.1,1952218,1,150M,tessellarius_ATCC_33566
57,NZ_CP033723.2_49,145,NZ_CP040788.1,1348433,1,150M,tessellarius_ATCC_33566
58,NZ_CP033723.2_51,153,NZ_CP040788.1,2615339,0,150M,tessellarius_ATCC_33566
59,NZ_CP033723.2_54,97,NZ_CP040788.1,2711410,3,150M,tessellarius_ATCC_33566
60,NZ_CP033723.2_54,145,NZ_CP040788.1,2711290,3,150M,tessellarius_ATCC_33566
61,NZ_CP033723.2_55,97,NZ_CP040788.1,37169,23,150M,tessellarius_ATCC_33566
62,NZ_CP033723.2_55,145,NZ_CP040788.1,37050,23,84M1D13M2I51M,tessellarius_ATCC_33566
63,NZ_CP033723.2_59,73,NZ_CP040788.1,2338346,24,150M,tessellarius_ATCC_33566
64,NZ_CP033723.2_60,73,NZ_CP040788.1,2331247,3,150M,tessellarius_ATCC_33566
65,NZ_CP033723.2_61,97,NZ_CP040788.1,3161720,23,150M,tessellarius_ATCC_33566
66,NZ_CP033723.2_61,145,NZ_CP040788.1,3161600,23,150M,tessellarius_ATCC_33566
67,NZ_CP033723.2_62,97,NZ_CP040788.1,614371,0,150M,tessellarius_ATCC_33566
68,NZ_CP033723.2_62,145,NZ_CP040788.1,614251,0,150M,tessellarius_ATCC_33566
69,NZ_CP033723.2_63,73,NZ_CP040788.1,2855537,40,150M,tessellarius_ATCC_33566
70,NZ_CP033723.2_80,97,NZ_CP040788.1,3128360,0,150M,tessellarius_ATCC_33566
71,NZ_CP033723.2_80,145,NZ_CP040788.1,3128240,0,150M,tessellarius_ATCC_33566
72,NZ_CP033723.2_83,97,NZ_CP040788.1,2885107,3,150M,tessellarius_ATCC_33566
73,NZ_CP033723.2_83,145,NZ_CP040788.1,2884987,3,150M,tessellarius_ATCC_33566
74,NZ_CP033723.2_84,97,NZ_CP040788.1,2277068,24,150M,tessellarius_ATCC_33566
75,NZ_CP033723.2_84,145,NZ_CP040788.1,2276948,24,150M,tessellarius_ATCC_33566
76,NZ_CP033723.2_87,97,NZ_CP040788.1,1079981,40,150M,tessellarius_ATCC_33566
77,NZ_CP033723.2_87,145,NZ_CP040788.1,1079861,40,150M,tessellarius_ATCC_33566
78,NZ_CP033723.2_88,97,NZ_CP040788.1,2074629,23,150M,tessellarius_ATCC_33566
79,NZ_CP033723.2_88,145,NZ_CP040788.1,2074509,23,150M,tessellarius_ATCC_33566
80,NZ_CP033723.2_89,73,NZ_CP040788.1,2364924,0,150M,tessellarius_ATCC_33566
81,NZ_CP033723.2_90,73,NZ_CP040788.1,2342950,40,150M,tessellarius_ATCC_33566
82,NZ_CP033723.2_91,97,NZ_CP040788.1,3196282,0,150M,tessellarius_ATCC_33566
83,NZ_CP033723.2_91,145,NZ_CP040788.1,3196162,0,150M,tessellarius_ATCC_33566
84,NZ_CP033723.2_93,97,NZ_CP040788.1,2013466,23,150M,tessellarius_ATCC_33566
85,NZ_CP033723.2_93,145,NZ_CP040788.1,2013346,23,150M,tessellarius_ATCC_33566
86,NZ_CP033723.2_96,73,NZ_CP040788.1,1811563,40,150M,tessellarius_ATCC_33566
87,NZ_CP033723.2_98,97,NZ_CP040788.1,873551,0,49M3I98M,tessellarius_ATCC_33566
88,NZ_CP033723.2_98,145,NZ_CP040788.1,873431,0,150M,tessellarius_ATCC_33566
89,NZ_CP033723.2_101,153,NZ_CP040788.1,3214031,3,150M,tessellarius_ATCC_33566
90,NZ_CP033723.2_102,97,NZ_CP040788.1,3170067,0,112M3D38M,tessellarius_ATCC_33566
91,NZ_CP033723.2_102,145,NZ_CP040788.1,3169947,0,150M,tessellarius_ATCC_33566
92,NZ_CP033723.2_105,97,NZ_CP040788.1,1846475,24,150M,tessellarius_ATCC_33566
93,NZ_CP033723.2_105,145,NZ_CP040788.1,1846355,24,150M,tessellarius_ATCC_33566
94,NZ_CP033723.2_108,97,NZ_CP040788.1,1673690,8,150M,tessellarius_ATCC_33566
95,NZ_CP033723.2_108,145,NZ_CP040788.1,1673570,8,150M,tessellarius_ATCC_33566
96,NZ_CP033723.2_109,97,NZ_CP040788.1,669396,23,150M,tessellarius_ATCC_33566
97,NZ_CP033723.2_109,145,NZ_CP040788.1,669276,23,150M,tessellarius_ATCC_33566
98,NZ_CP033723.2_64,97,NZ_CP040788.1,1707729,0,150M,tessellarius_ATCC_33566
99,NZ_CP033723.2_64,145,NZ_CP040788.1,1707609,0,150M,tessellarius_ATCC_33566
100,NZ_CP033723.2_65,97,NZ_CP040788.1,1091308,42,150M,tessellarius_ATCC_33566
101,NZ_CP033723.2_65,145,NZ_CP040788.1,1091188,42,150M,tessellarius_ATCC_33566
102,NZ_CP033723.2_70,97,NZ_CP040788.1,2083776,8,150M,tessellarius_ATCC_33566
103,NZ_CP033723.2_70,145,NZ_CP040788.1,2083656,8,150M,tessellarius_ATCC_33566
104,NZ_CP033723.2_71,97,NZ_CP040788.1,3163713,24,150M,tessellarius_ATCC_33566
105,NZ_CP033723.2_71,145,NZ_CP040788.1,3163593,24,150M,tessellarius_ATCC_33566
106,NZ_CP033723.2_73,97,NZ_CP040788.1,2119859,24,150M,tessellarius_ATCC_33566
107,NZ_CP033723.2_73,145,NZ_CP040788.1,2119739,24,150M,tessellarius_ATCC_33566
108,NZ_CP033723.2_74,97,NZ_CP040788.1,832764,3,150M,tessellarius_ATCC_33566
109,NZ_CP033723.2_74,145,NZ_CP040788.1,832644,3,150M,tessellarius_ATCC_33566
110,NZ_CP033723.2_75,97,NZ_CP040788.1,1208228,8,150M,tessellarius_ATCC_33566
111,NZ_CP033723.2_75,145,NZ_CP040788.1,1208108,8,150M,tessellarius_ATCC_33566
112,NZ_CP033723.2_76,97,NZ_CP040788.1,2188061,23,150M,tessellarius_ATCC_33566
113,NZ_CP033723.2_76,145,NZ_CP040788.1,2187941,23,150M,tessellarius_ATCC_33566
114,NZ_CP033723.2_79,97,NZ_CP040788.1,2339281,24,150M,tessellarius_ATCC_33566
115,NZ_CP033723.2_79,145,NZ_CP040788.1,2339161,24,150M,tessellarius_ATCC_33566
116,NZ_CP033723.2_112,97,NZ_CP040788.1,1961086,24,150M,tessellarius_ATCC_33566
117,NZ_CP033723.2_112,145,NZ_CP040788.1,1960966,24,150M,tessellarius_ATCC_33566
118,NZ_CP033723.2_113,73,NZ_CP040788.1,13465,40,150M,tessellarius_ATCC_33566
119,NZ_CP033723.2_114,97,NZ_CP040788.1,490919,0,150M,tessellarius_ATCC_33566
120,NZ_CP033723.2_114,145,NZ_CP040788.1,490802,0,21M3I126M,tessellarius_ATCC_33566
121,NZ_CP033723.2_115,97,NZ_CP040788.1,1300771,23,150M,tessellarius_ATCC_33566
122,NZ_CP033723.2_115,145,NZ_CP040788.1,1300651,23,150M,tessellarius_ATCC_33566
123,NZ_CP033723.2_116,97,NZ_CP040788.1,1676384,42,150M,tessellarius_ATCC_33566
124,NZ_CP033723.2_116,145,NZ_CP040788.1,1676264,42,150M,tessellarius_ATCC_33566
125,NZ_CP033723.2_117,97,NZ_CP040788.1,1681830,40,150M,tessellarius_ATCC_33566
126,NZ_CP033723.2_117,145,NZ_CP040788.1,1681710,40,150M,tessellarius_ATCC_33566
127,NZ_CP033723.2_118,97,NZ_CP040788.1,2880130,23,150M,tessellarius_ATCC_33566
128,NZ_CP033723.2_118,145,NZ_CP040788.1,2880010,23,150M,tessellarius_ATCC_33566
129,NZ_CP033723.2_119,97,NZ_CP040788.1,3218000,0,150M,tessellarius_ATCC_33566
130,NZ_CP033723.2_119,145,NZ_CP040788.1,3217880,0,150M,tessellarius_ATCC_33566
131,NZ_CP033723.2_120,73,NZ_CP040788.1,3225430,3,150M,tessellarius_ATCC_33566
132,NZ_CP033723.2_121,97,NZ_CP040788.1,1065618,23,150M,tessellarius_ATCC_33566
133,NZ_CP033723.2_121,145,NZ_CP040788.1,1065498,23,150M,tessellarius_ATCC_33566
134,NZ_CP033723.2_124,97,NZ_CP040788.1,2750105,23,150M,tessellarius_ATCC_33566
135,NZ_CP033723.2_124,145,NZ_CP040788.1,2749985,23,150M,tessellarius_ATCC_33566
136,NZ_CP033723.2_125,97,NZ_CP040788.1,3149378,8,150M,tessellarius_ATCC_33566
137,NZ_CP033723.2_125,145,NZ_CP040788.1,3149258,8,150M,tessellarius_ATCC_33566
138,NZ_CP033723.2_127,97,NZ_CP040788.1,2103964,0,150M,tessellarius_ATCC_33566
139,NZ_CP033723.2_127,145,NZ_CP040788.1,2103844,0,150M,tessellarius_ATCC_33566
140,NZ_CP033723.2_128,73,NZ_CP040788.1,817146,3,150M,tessellarius_ATCC_33566
141,NZ_CP033723.2_130,97,NZ_CP040788.1,2237560,3,150M,tessellarius_ATCC_33566
142,NZ_CP033723.2_130,145,NZ_CP040788.1,2237440,3,150M,tessellarius_ATCC_33566
143,NZ_CP033723.2_132,73,NZ_CP040788.1,1724692,23,150M,tessellarius_ATCC_33566
144,NZ_CP033723.2_135,65,NZ_CP040788.1,938650,1,150M,tessellarius_ATCC_33566
145,NZ_CP033723.2_135,129,NZ_CP040790.1,36142,1,150M,tessellarius_ATCC_33566
146,NZ_CP033723.2_139,97,NZ_CP040788.1,2857551,23,150M,tessellarius_ATCC_33566
147,NZ_CP033723.2_139,145,NZ_CP040788.1,2857431,23,150M,tessellarius_ATCC_33566
148,NZ_CP033723.2_140,73,NZ_CP040788.1,2702315,24,12M1I137M,tessellarius_ATCC_33566
149,NZ_CP033723.2_142,97,NZ_CP040788.1,2962719,0,150M,tessellarius_ATCC_33566
150,NZ_CP033723.2_142,145,NZ_CP040788.1,2962599,0,150M,tessellarius_ATCC_33566
151,NZ_CP033723.2_143,97,NZ_CP040788.1,553343,40,150M,tessellarius_ATCC_33566
152,NZ_CP033723.2_143,145,NZ_CP040788.1,553223,40,150M,tessellarius_ATCC_33566
153,NZ_CP033723.2_147,97,NZ_CP040788.1,3094889,0,150M,tessellarius_ATCC_33566
154,NZ_CP033723.2_147,145,NZ_CP040788.1,3094769,0,150M,tessellarius_ATCC_33566
155,NZ_CP033723.2_149,97,NZ_CP040788.1,1921852,24,150M,tessellarius_ATCC_33566
156,NZ_CP033723.2_149,145,NZ_CP040788.1,1921732,24,150M,tessellarius_ATCC_33566
157,NZ_CP033723.2_150,97,NZ_CP040788.1,1562430,0,146M1D4M,tessellarius_ATCC_33566
158,NZ_CP033723.2_150,145,NZ_CP040788.1,1562310,0,150M,tessellarius_ATCC_33566
159,NZ_CP033723.2_152,73,NZ_CP040788.1,1259832,0,150M,tessellarius_ATCC_33566
160,NZ_CP033723.2_153,73,NZ_CP040788.1,2073594,0,150M,tessellarius_ATCC_33566
161,NZ_CP033723.2_157,97,NZ_CP040788.1,695665,24,150M,tessellarius_ATCC_33566
162,NZ_CP033723.2_157,145,NZ_CP040788.1,695545,24,150M,tessellarius_ATCC_33566
163,NZ_CP033723.2_159,73,NZ_CP040788.1,1629967,0,150M,tessellarius_ATCC_33566
164,NZ_CP033723.2_161,97,NZ_CP040788.1,509364,23,150M,tessellarius_ATCC_33566
165,NZ_CP033723.2_161,145,NZ_CP040788.1,509244,23,150M,tessellarius_ATCC_33566
166,NZ_CP033723.2_164,97,NZ_CP040788.1,2310880,3,150M,tessellarius_ATCC_33566
167,NZ_CP033723.2_164,145,NZ_CP040788.1,2310760,3,150M,tessellarius_ATCC_33566
168,NZ_CP033723.2_166,97,NZ_CP040788.1,2227787,3,150M,tessellarius_ATCC_33566
169,NZ_CP033723.2_166,145,NZ_CP040788.1,2227667,3,150M,tessellarius_ATCC_33566
170,NZ_CP033723.2_168,97,NZ_CP040788.1,1170671,23,150M,tessellarius_ATCC_33566
171,NZ_CP033723.2_168,145,NZ_CP040788.1,1170551,23,150M,tessellarius_ATCC_33566
172,NZ_CP033723.2_169,73,NZ_CP040788.1,2565929,0,150M,tessellarius_ATCC_33566
173,NZ_CP033723.2_170,73,NZ_CP040788.1,459124,3,150M,tessellarius_ATCC_33566
174,NZ_CP033723.2_171,97,NZ_CP040788.1,3246665,0,150M,tessellarius_ATCC_33566
175,NZ_CP033723.2_171,145,NZ_CP040788.1,3246549,0,4M2I9M2I133M,tessellarius_ATCC_33566
176,NZ_CP033723.2_172,97,NZ_CP040788.1,495,40,150M,tessellarius_ATCC_33566
177,NZ_CP033723.2_172,145,NZ_CP040788.1,375,40,150M,tessellarius_ATCC_33566
178,NZ_CP033723.2_174,97,NZ_CP040788.1,163928,42,150M,tessellarius_ATCC_33566
179,NZ_CP033723.2_174,145,NZ_CP040788.1,163808,42,150M,tessellarius_ATCC_33566
180,NZ_CP033723.2_176,153,NZ_CP040788.1,257015,8,150M,tessellarius_ATCC_33566
181,NZ_CP033723.2_178,97,NZ_CP040788.1,1161256,40,150M,tessellarius_ATCC_33566
182,NZ_CP033723.2_178,145,NZ_CP040788.1,1161136,40,150M,tessellarius_ATCC_33566
183,NZ_CP033723.2_179,97,NZ_CP040788.1,1982091,24,150M,tessellarius_ATCC_33566
184,NZ_CP033723.2_179,145,NZ_CP040788.1,1981971,24,150M,tessellarius_ATCC_33566
185,NZ_CP033723.2_180,97,NZ_CP040788.1,3224762,8,150M,tessellarius_ATCC_33566
186,NZ_CP033723.2_180,145,NZ_CP040788.1,3224642,8,150M,tessellarius_ATCC_33566
187,NZ_CP033723.2_181,97,NZ_CP040788.1,2057251,40,150M,tessellarius_ATCC_33566
188,NZ_CP033723.2_181,145,NZ_CP040788.1,2057131,40,150M,tessellarius_ATCC_33566
189,NZ_CP033723.2_184,97,NZ_CP040788.1,1193833,8,150M,tessellarius_ATCC_33566
190,NZ_CP033723.2_184,145,NZ_CP040788.1,1193713,8,150M,tessellarius_ATCC_33566
191,NZ_CP033723.2_185,97,NZ_CP040788.1,147388,0,150M,tessellarius_ATCC_33566
192,NZ_CP033723.2_185,145,NZ_CP040788.1,147268,0,150M,tessellarius_ATCC_33566
193,NZ_CP033723.2_186,97,NZ_CP040788.1,698450,24,150M,tessellarius_ATCC_33566
194,NZ_CP033723.2_186,145,NZ_CP040788.1,698330,24,150M,tessellarius_ATCC_33566
195,NZ_CP033723.2_187,97,NZ_CP040788.1,1427840,8,150M,tessellarius_ATCC_33566
196,NZ_CP033723.2_187,145,NZ_CP040788.1,1427720,8,150M,tessellarius_ATCC_33566
197,NZ_CP033723.2_189,73,NZ_CP040788.1,1703692,23,150M,tessellarius_ATCC_33566
198,NZ_CP033723.2_194,97,NZ_CP040788.1,2699963,23,150M,tessellarius_ATCC_33566
199,NZ_CP033723.2_194,145,NZ_CP040788.1,2699843,23,150M,tessellarius_ATCC_33566
200,NZ_CP033723.2_196,97,NZ_CP040788.1,1424030,24,150M,tessellarius_ATCC_33566
201,NZ_CP033723.2_196,145,NZ_CP040788.1,1423910,24,150M,tessellarius_ATCC_33566
202,NZ_CP033723.2_198,97,NZ_CP040788.1,785647,0,150M,tessellarius_ATCC_33566
203,NZ_CP033723.2_198,145,NZ_CP040788.1,785527,0,150M,tessellarius_ATCC_33566
204,NZ_CP033723.2_199,97,NZ_CP040788.1,1757919,3,150M,tessellarius_ATCC_33566
205,NZ_CP033723.2_199,145,NZ_CP040788.1,1757799,3,150M,tessellarius_ATCC_33566
206,NZ_CP033723.2_200,97,NZ_CP040788.1,2121058,23,150M,tessellarius_ATCC_33566
207,NZ_CP033723.2_200,145,NZ_CP040788.1,2120938,23,150M,tessellarius_ATCC_33566
208,NZ_CP033723.2_201,73,NZ_CP040788.1,2276626,23,150M,tessellarius_ATCC_33566
209,NZ_CP033723.2_202,97,NZ_CP040788.1,1793683,40,150M,tessellarius_ATCC_33566
210,NZ_CP033723.2_202,145,NZ_CP040788.1,1793563,40,150M,tessellarius_ATCC_33566
211,NZ_CP033723.2_203,97,NZ_CP040788.1,2484818,3,150M,tessellarius_ATCC_33566
212,NZ_CP033723.2_203,145,NZ_CP040788.1,2484698,3,150M,tessellarius_ATCC_33566
213,NZ_CP033723.2_205,97,NZ_CP040788.1,533337,40,150M,tessellarius_ATCC_33566
214,NZ_CP033723.2_205,145,NZ_CP040788.1,533217,40,150M,tessellarius_ATCC_33566
215,NZ_CP033723.2_208,97,NZ_CP040788.1,87968,3,102M1D48M,tessellarius_ATCC_33566
216,NZ_CP033723.2_208,145,NZ_CP040788.1,87863,3,4M1I4M2I36M12I91M,tessellarius_ATCC_33566
217,NZ_CP033723.2_209,97,NZ_CP040788.1,3163299,42,150M,tessellarius_ATCC_33566
218,NZ_CP033723.2_209,145,NZ_CP040788.1,3163179,42,150M,tessellarius_ATCC_33566
219,NZ_CP033723.2_210,97,NZ_CP040788.1,1484238,24,150M,tessellarius_ATCC_33566
220,NZ_CP033723.2_210,145,NZ_CP040788.1,1484118,24,150M,tessellarius_ATCC_33566
221,NZ_CP033723.2_215,97,NZ_CP040788.1,3132202,40,150M,tessellarius_ATCC_33566
222,NZ_CP033723.2_215,145,NZ_CP040788.1,3132082,40,150M,tessellarius_ATCC_33566
223,NZ_CP033723.2_217,97,NZ_CP040788.1,3244051,24,150M,tessellarius_ATCC_33566
224,NZ_CP033723.2_217,145,NZ_CP040788.1,3243931,24,150M,tessellarius_ATCC_33566
225,NZ_CP033723.2_218,97,NZ_CP040788.1,55788,8,150M,tessellarius_ATCC_33566
226,NZ_CP033723.2_218,145,NZ_CP040788.1,55668,8,150M,tessellarius_ATCC_33566
227,NZ_CP033723.2_219,153,NZ_CP040788.1,1234522,0,150M,tessellarius_ATCC_33566
228,NZ_CP033723.2_220,97,NZ_CP040788.1,2041905,42,150M,tessellarius_ATCC_33566
229,NZ_CP033723.2_220,145,NZ_CP040788.1,2041785,42,150M,tessellarius_ATCC_33566
230,NZ_CP033723.2_223,97,NZ_CP040788.1,2364511,23,150M,tessellarius_ATCC_33566
231,NZ_CP033723.2_223,145,NZ_CP040788.1,2364391,23,150M,tessellarius_ATCC_33566
232,NZ_CP033723.2_224,73,NZ_CP040788.1,2484660,3,150M,tessellarius_ATCC_33566
233,NZ_CP033723.2_225,97,NZ_CP040788.1,1600746,0,150M,tessellarius_ATCC_33566
234,NZ_CP033723.2_225,145,NZ_CP040788.1,1600626,0,150M,tessellarius_ATCC_33566
235,NZ_CP033723.2_226,73,NZ_CP040788.1,1651031,23,150M,tessellarius_ATCC_33566
236,NZ_CP033723.2_227,97,NZ_CP040788.1,3009575,8,150M,tessellarius_ATCC_33566
237,NZ_CP033723.2_227,145,NZ_CP040788.1,3009455,8,150M,tessellarius_ATCC_33566
238,NZ_CP033723.2_228,153,NZ_CP040788.1,17924,3,150M,tessellarius_ATCC_33566
239,NZ_CP033723.2_229,97,NZ_CP040788.1,1777281,8,150M,tessellarius_ATCC_33566
240,NZ_CP033723.2_229,145,NZ_CP040788.1,1777161,8,150M,tessellarius_ATCC_33566
241,NZ_CP033723.2_230,97,NZ_CP040788.1,404619,8,150M,tessellarius_ATCC_33566
242,NZ_CP033723.2_230,145,NZ_CP040788.1,404499,8,150M,tessellarius_ATCC_33566
243,NZ_CP033723.2_233,97,NZ_CP040788.1,2339064,42,150M,tessellarius_ATCC_33566
244,NZ_CP033723.2_233,145,NZ_CP040788.1,2338944,42,150M,tessellarius_ATCC_33566
245,NZ_CP033723.2_234,97,NZ_CP040788.1,274102,3,150M,tessellarius_ATCC_33566
246,NZ_CP033723.2_234,145,NZ_CP040788.1,273982,3,150M,tessellarius_ATCC_33566
247,NZ_CP033723.2_235,97,NZ_CP040788.1,2867383,8,150M,tessellarius_ATCC_33566
248,NZ_CP033723.2_235,145,NZ_CP040788.1,2867263,8,150M,tessellarius_ATCC_33566
249,NZ_CP033723.2_237,97,NZ_CP040788.1,1995007,8,150M,tessellarius_ATCC_33566
250,NZ_CP033723.2_237,145,NZ_CP040788.1,1994887,8,150M,tessellarius_ATCC_33566
251,NZ_CP033723.2_239,97,NZ_CP040788.1,1224941,0,150M,tessellarius_ATCC_33566
252,NZ_CP033723.2_239,145,NZ_CP040788.1,1224821,0,150M,tessellarius_ATCC_33566
253,NZ_CP033723.2_257,97,NZ_CP040788.1,760274,40,150M,tessellarius_ATCC_33566
254,NZ_CP033723.2_257,145,NZ_CP040788.1,760154,40,150M,tessellarius_ATCC_33566
255,NZ_CP033723.2_261,97,NZ_CP040788.1,636160,24,150M,tessellarius_ATCC_33566
256,NZ_CP033723.2_261,145,NZ_CP040788.1,636040,24,150M,tessellarius_ATCC_33566
257,NZ_CP033723.2_263,73,NZ_CP040788.1,343538,24,150M,tessellarius_ATCC_33566
258,NZ_CP033723.2_264,97,NZ_CP040788.1,155414,40,150M,tessellarius_ATCC_33566
259,NZ_CP033723.2_264,145,NZ_CP040788.1,155294,40,150M,tessellarius_ATCC_33566
260,NZ_CP033723.2_265,97,NZ_CP040788.1,1495335,8,150M,tessellarius_ATCC_33566
261,NZ_CP033723.2_265,145,NZ_CP040788.1,1495215,8,150M,tessellarius_ATCC_33566
262,NZ_CP033723.2_267,97,NZ_CP040788.1,2265923,40,150M,tessellarius_ATCC_33566
263,NZ_CP033723.2_267,145,NZ_CP040788.1,2265803,40,150M,tessellarius_ATCC_33566
264,NZ_CP033723.2_268,153,NZ_CP040788.1,2164156,23,150M,tessellarius_ATCC_33566
265,NZ_CP033723.2_271,97,NZ_CP040788.1,1544398,0,150M,tessellarius_ATCC_33566
266,NZ_CP033723.2_271,145,NZ_CP040788.1,1544278,0,150M,tessellarius_ATCC_33566
267,NZ_CP033723.2_242,73,NZ_CP040788.1,458809,40,150M,tessellarius_ATCC_33566
268,NZ_CP033723.2_243,97,NZ_CP040788.1,2264900,24,150M,tessellarius_ATCC_33566
269,NZ_CP033723.2_243,145,NZ_CP040788.1,2264780,24,150M,tessellarius_ATCC_33566
270,NZ_CP033723.2_245,97,NZ_CP040788.1,923468,42,150M,tessellarius_ATCC_33566
271,NZ_CP033723.2_245,145,NZ_CP040788.1,923348,42,150M,tessellarius_ATCC_33566
272,NZ_CP033723.2_247,97,NZ_CP040788.1,315483,8,150M,tessellarius_ATCC_33566
