name,B11-28F,B12-28F,B13-28F,B14-28F,B15-28F
Clostridium::Anaerosporobacter,0,0,0,0,0
Tindallia::Clostridium,0,0,0,0,0
Roseburia::Eubacterium,0,0,0,0,0
Ruminococcus::Escherichia,0,0,0,0,0
Butyrivibrio::Pseudobutyrivibrio,0,0,0,0,0
Coprococcus::Ruminococcus,0,0,0,0,0
Sporobacter::Oscillospira,0,0,0,0,0
Atopobium,0,0,0,0,0
Gracilibacter,0,0,0,0,0
Azospirillum,0,0,0,0,1
Marinilabilia,0,0,0,1,0
Shigella::Enterobacter,0,0,0,0,0
Pseudobutyrivibrio::Butyrivibrio,0,0,0,0,0
Blautia::Lachnospira,0,0,0,0,0
Lachnobacterium::Roseburia,0,0,0,0,0
Bacillus::Bacteroides,0,0,0,0,0
Blautia::Clostridium::Desulfotomaculum,0,0,0,0,0
Cyanobium,1,0,0,0,0
Anaplasma,0,0,0,0,0
Haemophilus,0,0,0,1,0
Ruminococcus::Dorea,0,0,0,0,0
Algoriphagus,1,0,0,0,0
Lawsonia,0,0,0,0,0
Alkalitalea::Rhizobium,0,0,0,0,0
Barnesiella::Bacteroides,0,0,0,0,0
Azospirillum::Rhodospirillum,0,0,0,1,0
Eubacterium::Lachnospira,0,0,0,0,0
Slackia,0,0,0,0,0
Enterococcus,0,0,0,0,0
Dorea::Clostridium,0,0,0,0,0
Brevibacterium,0,0,0,0,0
Roseospirillum,0,0,0,0,0
Thalassospira,0,0,0,3,0
Erysipelothrix,0,0,0,0,0
Parvularcula,0,0,0,1,0
Pseudoalteromonas,0,0,0,1,0
Acidaminococcus,0,0,0,0,0
