database	amr gene	contig amr	amr length	contig length	amr coverage	length	pident
../a3/BAL_Kl.fa	merr	k141_396	456	332	64	290	92.069
../a3/BAL_Kl.fa	oqxa10	k141_1241	1176	338	29	338	98.817
../a3/BAL_Kl.fa	oqxa11	k141_1241	1176	338	29	338	98.817
../a3/BAL_Kl.fa	oqxa3	k141_1241	1176	338	29	338	98.817
../a3/BAL_Kl.fa	oqxa8	k141_1241	1176	338	29	338	99.112
../a3/BAL_Kl.fa	oqxb14	k141_828	3153	326	10	326	99.080
../a3/BAL_Kl.fa	oqxb19	k141_828	3153	326	10	326	99.080
../a3/BAL_Kl.fa	oqxb22	k141_828	3153	326	10	326	99.080
../a3/BAL_Kl.fa	oqxb25	k141_828	3153	326	10	326	99.080
../a3/BAL_Kl.fa	oqxb32	k141_828	3153	326	10	326	97.853
../a3/BAL_Kl.fa	oqxb5	k141_828	3153	326	10	326	99.080
../a3/BAL_Kl.fa	oqxb9	k141_828	3153	326	10	326	98.466
../a3/BAL_Kl.fa	merr	k141_396	456	332	64	290	92.069
../a3/BAL_Kl.fa	yagx-ecpc	k141_262	2526	327	13	327	85.015
../a3/BAL_Kl.fa	yagx-ecpc	k141_605	2526	399	9	217	92.166
../a3/BAL_Kl.fa	yagx-ecpc	k141_262	2526	327	13	326	96.626
../a3/BAL_Kl.fa	yagx-ecpc	k141_605	2526	399	9	217	97.235
../a3/BAL_Kl.fa	mrkf	k141_1369	636	430	30	192	93.750
../a3/BAL_Kl.fa	mrkd	k141_498	996	1238	54	541	91.497
../a3/BAL_Kl.fa	yagw-ecpd	k141_605	1644	399	12	191	94.764
../a3/BAL_Kl.fa	bamb	k141_111	1179	425	36	424	86.792
../a3/BAL_Kl.fa	parc	k141_536	2259	514	23	512	88.672
../a3/BAL_Kl.fa	parc	k141_1333	2259	401	17	385	89.610
../a3/BAL_Kl.fa	dotu-tssl	k141_1099	690	470	68	469	97.441
../a3/BAL_Kl.fa	oqxb24	k141_828	3153	326	10	326	98.160
../a3/BAL_Kl.fa	oqxa6	k141_1241	1173	338	29	338	98.817
../a3/BAL_Kl.fa	oqxb20	k141_828	3150	326	10	326	99.387
../a3/DEN_En.fa	sila	k141_86	3147	390	12	388	86.598
../a3/DEN_En.fa	papb	k141_25	1383	384	28	384	93.750
../a3/DEN_En.fa	sila	k141_86	3147	390	12	388	96.649
../a3/DEN_En.fa	roba	k141_29	870	315	36	313	86.581
../a3/DEN_Es.fa	fliq	k141_83	270	353	92	249	98.394
../a3/DEN_Es.fa	rhs-paar	k141_157	4134	356	9	356	99.157
../a3/DEN_Es.fa	rhs-paar	k141_99	4134	320	8	315	91.746
../a3/DEN_Es.fa	hlya	k141_28	2997	417	8	238	100.000
../a3/DEN_Es.fa	fliq	k141_83	270	353	91	245	82.857
../a3/DEN_Es.fa	mcr-9	k141_167	1949	1015	2	40	100.000
../a3/DEN_Kl.fa	silb	k141_530	1251	365	20	262	80.153
../a3/DEN_Kl.fa	silb	k141_5017	1251	426	21	272	74.632
../a3/DEN_Kl.fa	sila	k141_1452	3147	486	15	486	92.798
../a3/DEN_Kl.fa	silc	k141_3351	1386	431	17	234	99.573
../a3/DEN_Kl.fa	srpc	k141_7060	1437	812	20	296	78.716
../a3/DEN_Kl.fa	ec-145	k141_1460	696	967	25	173	90.751
../a3/DEN_Kl.fa	tesa	k141_7118	594	1403	99	593	88.196
../a3/DEN_Kl.fa	mrkc	k141_7428	2487	1206	46	1150	99.565
../a3/DEN_Kl.fa	mrkc	k141_682	2487	952	36	905	83.315
../a3/DEN_Kl.fa	mrkc	k141_825	2487	560	22	552	86.232
../a3/DEN_Kl.fa	mrkc	k141_7684	2487	1089	14	348	83.908
../a3/DEN_Kl.fa	mrkc	k141_1048	2487	390	2	38	100.000
../a3/DEN_Kl.fa	kpne	k141_3649	363	813	88	321	82.866
../a3/DEN_Kl.fa	gnd	k141_623	1407	530	38	532	83.271
../a3/DEN_Kl.fa	silb	k141_530	1293	365	21	273	98.535
../a3/DEN_Kl.fa	ptsi	k141_4279	1728	763	44	763	91.088
../a3/DEN_Kl.fa	ptsi	k141_8775	1728	1272	54	927	85.329
../a3/DEN_Kl.fa	argr	k141_223	471	475	78	369	81.030
../a3/DEN_Kl.fa	gspg	k141_756	438	3536	39	172	83.140
../a3/DEN_Kl.fa	cyaa	k141_6388	2547	1177	46	1179	83.121
../a3/DEN_Kl.fa	cyaa	k141_1330	2547	460	18	452	86.726
../a3/DEN_Kl.fa	cyaa	k141_5408	2547	408	14	350	84.286
../a3/DEN_Kl.fa	cyaa	k141_2	2547	347	4	108	86.111
../a3/DEN_Kl.fa	cyca	k141_7917	1413	389	27	390	81.282
../a3/DEN_Kl.fa	cyca	k141_6115	1413	329	23	329	83.283
../a3/DEN_Kl.fa	cyca	k141_7917	1413	389	27	390	81.282
../a3/DEN_Kl.fa	cyca	k141_6115	1413	329	23	329	83.283
../a3/DEN_Kl.fa	dfr	k141_7917	1413	389	27	390	81.282
../a3/DEN_Kl.fa	dfr	k141_6115	1413	329	23	329	83.283
../a3/DEN_Kl.fa	fes	k141_7516	1203	917	16	192	76.042
../a3/DEN_Kl.fa	entf	k141_2307	3882	548	13	524	80.153
../a3/DEN_Kl.fa	entf	k141_2153	3882	350	8	328	75.000
../a3/DEN_Kl.fa	entc	k141_3964	1176	778	9	109	78.899
../a3/DEN_Kl.fa	ente	k141_5054	1611	438	27	430	84.651
../a3/DEN_Kl.fa	ente	k141_838	1611	788	25	411	81.752
../a3/DEN_Kl.fa	ente	k141_5331	1611	761	3	53	94.340
../a3/DEN_Kl.fa	entb	k141_5331	858	761	73	625	81.280
../a3/DEN_Kl.fa	entb	k141_838	858	788	38	325	82.154
../a3/DEN_Kl.fa	gnd	k141_623	1407	530	38	530	84.151
../a3/DEN_Kl.fa	gyra	k141_2331	2628	811	31	811	85.820
../a3/DEN_Kl.fa	gyra	k141_8094	2628	332	13	331	88.822
../a3/DEN_Kl.fa	glpt	k141_8698	1359	656	48	656	84.909
../a3/DEN_Kl.fa	rpos	k141_3264	993	1407	71	708	86.723
../a3/DEN_Kl.fa	yagz-ecpa	k141_1807	588	415	71	415	87.470
../a3/DEN_Kl.fa	parc	k141_1467	2259	473	15	347	87.896
../a3/DEN_Kl.fa	parc	k141_3299	2259	720	14	318	88.365
../a3/DEN_Kl.fa	parc	k141_4743	2259	310	14	308	83.766
../a3/DEN_Kl.fa	pare	k141_537	1893	526	28	526	85.932
../a3/DEN_Kl.fa	pare	k141_5419	1893	811	15	287	86.411
../a3/DEN_Kl.fa	ompr	k141_465	720	635	52	375	87.200
../a3/DEN_Kl.fa	uhpt	k141_878	1392	800	30	422	86.730
../a3/DEN_Kl.fa	uhpt	k141_5823	1392	506	22	303	90.099
../a3/DEN_Kl.fa	papb	k141_4245	1383	662	48	662	95.468
../a3/DEN_Kl.fa	papb	k141_8153	1383	371	26	359	93.593
../a3/DEN_Kl.fa	papb	k141_1283	1383	377	7	95	93.684
../a3/DEN_Kl.fa	papc	k141_3457	864	368	43	368	91.304
../a3/DEN_Kl.fa	papc	k141_1283	864	377	29	252	97.222
../a3/DEN_Kl.fa	papa	k141_1619	1542	626	40	624	94.391
../a3/DEN_Kl.fa	papa	k141_6088	1542	429	28	428	91.822
../a3/DEN_Kl.fa	papa	k141_1053	1542	372	24	372	94.355
../a3/DEN_Kl.fa	papf	k141_1811	471	1236	82	384	89.323
../a3/DEN_Kl.fa	paph	k141_1811	240	1236	100	240	98.750
../a3/DEN_Kl.fa	papd	k141_1811	816	1236	60	490	90.204
../a3/DEN_Kl.fa	papd	k141_1580	816	376	15	119	94.118
../a3/DEN_Kl.fa	amph	k141_6224	1158	453	37	424	80.896
../a3/DEN_Kl.fa	acra	k141_1941	1194	399	22	261	81.609
../a3/DEN_Kl.fa	tesa	k141_7118	627	1403	99	624	81.410
../a3/DEN_Kl.fa	fepa	k141_6215	2241	1317	59	1329	79.082
../a3/DEN_Kl.fa	fepa	k141_4338	2241	488	19	424	83.255
../a3/DEN_Kl.fa	fepc	k141_2395	816	1487	95	776	80.284
../a3/DEN_Kl.fa	fepg	k141_286	993	743	46	463	80.778
../a3/DEN_Kl.fa	fepg	k141_7242	993	806	21	205	83.902
../a3/DEN_Kl.fa	fepd	k141_7242	1005	806	44	445	79.101
../a3/DEN_Kl.fa	gale	k141_4601	1017	450	43	443	86.005
../a3/DEN_Kl.fa	gale	k141_4522	1017	316	15	150	82.000
../a3/DEN_Kl.fa	setb	k141_5506	1182	334	15	182	93.407
../a3/DEN_Kl.fa	setb	k141_1508	1182	308	19	230	86.957
../a3/DEN_Kl.fa	fimg	k141_315	501	755	9	45	95.556
../a3/DEN_Kl.fa	fimf	k141_8616	528	415	72	382	80.890
../a3/DEN_Kl.fa	fimf	k141_9065	528	1118	8	43	95.349
../a3/DEN_Kl.fa	fimd	k141_9065	2616	1118	40	1053	95.632
../a3/DEN_Kl.fa	fimd	k141_8289	2616	1683	64	1678	80.453
../a3/DEN_Kl.fa	fimd	k141_4539	2616	1908	38	993	81.470
../a3/DEN_Kl.fa	fimd	k141_1680	2616	326	12	326	95.399
../a3/DEN_Kl.fa	fimd	k141_6052	2616	500	15	408	81.127
../a3/DEN_Kl.fa	fimc	k141_3730	705	367	51	359	93.872
../a3/DEN_Kl.fa	entf	k141_5440	3882	2469	64	2469	98.947
../a3/DEN_Kl.fa	entf	k141_4803	3882	853	22	844	85.900
../a3/DEN_Kl.fa	entf	k141_8005	3882	436	11	436	96.789
../a3/DEN_Kl.fa	entf	k141_2307	3882	548	14	548	88.321
../a3/DEN_Kl.fa	entf	k141_6074	3882	362	9	362	99.448
../a3/DEN_Kl.fa	entf	k141_2153	3882	350	9	344	85.174
../a3/DEN_Kl.fa	fepc	k141_2395	795	1487	98	783	87.101
../a3/DEN_Kl.fa	fepc	k141_286	795	743	31	244	99.590
../a3/DEN_Kl.fa	fepg	k141_8360	993	1753	52	515	99.612
../a3/DEN_Kl.fa	fepg	k141_286	993	743	51	503	99.404
../a3/DEN_Kl.fa	fepd	k141_8360	1008	1753	100	1008	99.603
../a3/DEN_Kl.fa	fepd	k141_7242	1008	806	48	484	86.777
../a3/DEN_Kl.fa	fepb	k141_8177	960	603	38	368	94.293
../a3/DEN_Kl.fa	fepb	k141_3964	960	778	33	315	98.413
../a3/DEN_Kl.fa	fepb	k141_4556	960	351	36	342	94.737
../a3/DEN_Kl.fa	fepb	k141_2350	960	788	23	219	99.087
../a3/DEN_Kl.fa	entc	k141_8819	1188	537	42	505	99.406
../a3/DEN_Kl.fa	entc	k141_8819	1188	537	42	46	97.826
../a3/DEN_Kl.fa	entc	k141_5459	1188	368	31	368	92.935
../a3/DEN_Kl.fa	entc	k141_3964	1188	778	24	287	98.955
../a3/DEN_Kl.fa	entc	k141_8996	1188	515	43	512	82.812
../a3/DEN_Kl.fa	entc	k141_6731	1188	768	23	179	100.000
../a3/DEN_Kl.fa	entc	k141_6731	1188	768	23	95	98.947
../a3/DEN_Kl.fa	ente	k141_2769	1608	523	33	523	98.470
../a3/DEN_Kl.fa	ente	k141_6731	1608	768	31	493	96.552
../a3/DEN_Kl.fa	ente	k141_838	1608	788	27	431	99.768
../a3/DEN_Kl.fa	ente	k141_5054	1608	438	27	436	84.862
../a3/DEN_Kl.fa	ente	k141_5331	1608	761	5	78	97.436
../a3/DEN_Kl.fa	entb	k141_5331	852	761	79	670	89.254
../a3/DEN_Kl.fa	entb	k141_838	852	788	40	344	98.547
../a3/DEN_Kl.fa	hlyb	k141_3497	1671	350	21	350	98.857
../a3/DEN_Kl.fa	wzx	k141_6207	1251	1744	51	639	98.592
../a3/DEN_Kl.fa	wzx	k141_840	1251	663	22	277	95.668
../a3/DEN_Kl.fa	rnfc	k141_6058	2262	1025	45	688	92.297
../a3/DEN_Kl.fa	rnfc	k141_6058	2262	1025	45	348	93.391
../a3/DEN_Kl.fa	rnfc	k141_6058	2262	1025	45	333	84.985
../a3/DEN_Kl.fa	rnfc	k141_6058	2262	1025	45	332	84.337
../a3/DEN_Kl.fa	rnfc	k141_6058	2262	1025	45	230	83.478
../a3/DEN_Kl.fa	rnfc	k141_6019	2262	630	8	176	88.068
../a3/DEN_Kl.fa	ybtq	k141_2899	1803	840	46	839	87.843
../a3/DEN_Kl.fa	ybtq	k141_266	1803	943	9	163	83.436
../a3/DEN_Kl.fa	irp2	k141_8876	6108	1276	21	1254	84.530
../a3/DEN_Kl.fa	irp2	k141_1689	6108	925	15	894	85.347
../a3/DEN_Kl.fa	irp2	k141_2755	6108	631	10	633	89.573
../a3/DEN_Kl.fa	irp2	k141_1734	6108	757	12	758	82.850
../a3/DEN_Kl.fa	irp1	k141_6575	9492	2895	29	2788	85.222
../a3/DEN_Kl.fa	irp1	k141_1954	9492	1997	21	1999	86.443
../a3/DEN_Kl.fa	irp1	k141_1238	9492	996	10	991	87.992
../a3/DEN_Kl.fa	irp1	k141_3163	9492	749	8	749	89.186
../a3/DEN_Kl.fa	irp1	k141_6011	9492	859	9	859	84.284
../a3/DEN_Kl.fa	ybtt	k141_7077	804	539	61	491	87.373
../a3/DEN_Kl.fa	fyua	k141_7887	2022	402	20	402	90.050
../a3/DEN_Kl.fa	fyua	k141_2271	2022	357	18	357	90.756
../a3/DEN_Kl.fa	galf	k141_1257	897	443	49	443	97.968
../a3/DEN_Kl.fa	galf	k141_107	897	431	14	125	100.000
../a3/DEN_Kl.fa	rcsb	k141_4004	651	817	83	538	98.141
../a3/DEN_Kl.fa	gyra	k141_2331	2634	811	31	810	97.901
../a3/DEN_Kl.fa	gyra	k141_7425	2634	365	14	365	96.986
../a3/DEN_Kl.fa	gyra	k141_3939	2634	372	14	372	91.129
../a3/DEN_Kl.fa	glpt	k141_8698	1347	656	49	656	89.787
../a3/DEN_Kl.fa	glpt	k141_2004	1347	421	31	421	96.437
../a3/DEN_Kl.fa	glpt	k141_3349	1347	377	27	360	96.111
../a3/DEN_Kl.fa	glpt	k141_8230	1347	331	6	82	100.000
../a3/DEN_Kl.fa	mrkb	k141_7684	702	1089	100	702	85.185
../a3/DEN_Kl.fa	mrkb	k141_2146	702	729	53	375	99.200
../a3/DEN_Kl.fa	mrkb	k141_1048	702	390	49	341	98.534
../a3/DEN_Kl.fa	fimi	k141_1239	537	330	61	329	92.705
../a3/DEN_Kl.fa	parc	k141_2461	2259	406	18	406	99.754
../a3/DEN_Kl.fa	parc	k141_1467	2259	473	15	348	100.000
../a3/DEN_Kl.fa	parc	k141_4743	2259	310	14	310	99.355
../a3/DEN_Kl.fa	parc	k141_3299	2259	720	14	318	91.824
../a3/DEN_Kl.fa	pare	k141_537	1896	526	28	524	88.740
../a3/DEN_Kl.fa	pare	k141_5419	1896	811	15	287	95.819
../a3/DEN_Kl.fa	pare	k141_3053	1896	454	24	452	84.513
../a3/DEN_Kl.fa	argr	k141_8523	471	422	86	405	99.259
../a3/DEN_Kl.fa	argr	k141_223	471	475	79	374	88.235
../a3/DEN_Kl.fa	rpsl	k141_1571	375	584	75	283	100.000
../a3/DEN_Kl.fa	ompr	k141_3635	720	1064	70	507	87.574
../a3/DEN_Kl.fa	ompr	k141_465	720	635	52	375	89.600
../a3/DEN_Kl.fa	gyrb	k141_7929	2415	1196	49	1189	89.151
../a3/DEN_Kl.fa	gyrb	k141_7561	2415	490	20	490	99.184
../a3/DEN_Kl.fa	gyrb	k141_606	2415	419	17	418	95.933
../a3/DEN_Kl.fa	gyrb	k141_2386	2415	305	13	305	99.344
../a3/DEN_Kl.fa	alls	k141_515	924	1465	90	829	86.852
../a3/DEN_Kl.fa	entd	k141_8440	630	1065	100	630	98.254
../a3/DEN_Kl.fa	fepa	k141_6215	2229	1317	58	1310	85.954
../a3/DEN_Kl.fa	fepa	k141_7539	2229	556	25	556	99.640
../a3/DEN_Kl.fa	fepa	k141_3296	2229	538	24	538	95.911
../a3/DEN_Kl.fa	fepa	k141_3628	2229	513	23	513	97.076
../a3/DEN_Kl.fa	fepa	k141_8440	2229	1065	12	267	100.000
../a3/DEN_Kl.fa	fepa	k141_1918	2229	303	14	303	92.739
../a3/DEN_Kl.fa	fepa	k141_4338	2229	488	19	428	84.112
../a3/DEN_Kl.fa	fepa	k141_741	2229	625	27	620	77.742
../a3/DEN_Kl.fa	fepa	k141_8803	2229	1032	13	288	87.153
../a3/DEN_Kl.fa	fabi	k141_4105	789	731	73	577	94.281
../a3/DEN_Kl.fa	fabi	k141_520	789	703	72	570	90.702
../a3/DEN_Kl.fa	manc	k141_9411	1416	769	48	684	85.526
../a3/DEN_Kl.fa	rpos	k141_3264	1101	1407	68	744	90.591
../a3/DEN_Kl.fa	rpos	k141_3513	1101	467	42	467	99.572
../a3/DEN_Kl.fa	rpos	k141_3037	1101	486	24	259	90.734
../a3/DEN_Kl.fa	mrka	k141_2146	609	729	42	254	99.213
../a3/DEN_Kl.fa	mrka	k141_3464	609	337	55	338	83.432
../a3/DEN_Kl.fa	mrka	k141_3558	609	482	40	242	89.256
../a3/DEN_Kl.fa	mrka	k141_7010	609	343	8	46	97.826
../a3/DEN_Kl.fa	cusr	k141_371	684	326	20	140	98.571
../a3/DEN_Kl.fa	alld	k141_4323	1017	398	39	393	99.491
../a3/DEN_Kl.fa	alld	k141_3561	1017	449	31	316	98.734
../a3/DEN_Kl.fa	ompk35	k141_4751	435	490	26	112	89.286
../a3/DEN_Kl.fa	ompk36	k141_6368	1104	574	53	583	90.909
../a3/DEN_Kl.fa	ompk36	k141_6674	1104	474	33	365	91.781
../a3/DEN_Kl.fa	ompk36	k141_4683	1104	361	18	203	79.310
../a3/DEN_Kl.fa	ompk36	k141_3467	1104	544	10	111	84.685
../a3/DEN_Kl.fa	uhpt	k141_878	1392	800	51	422	98.815
../a3/DEN_Kl.fa	uhpt	k141_878	1392	800	51	290	88.276
../a3/DEN_Kl.fa	uhpt	k141_5823	1392	506	22	303	90.429
../a3/DEN_Kl.fa	fes	k141_5547	798	582	73	581	97.246
../a3/DEN_Kl.fa	fes	k141_6618	798	1019	99	799	85.732
../a3/DEN_Kl.fa	ybta	k141_6586	960	432	45	429	88.811
../a3/DEN_Kl.fa	irp2	k141_8876	6108	1276	21	1254	84.211
../a3/DEN_Kl.fa	irp2	k141_1689	6108	925	15	894	85.459
../a3/DEN_Kl.fa	irp2	k141_2755	6108	631	10	633	89.258
../a3/DEN_Kl.fa	irp2	k141_1734	6108	757	12	758	82.982
../a3/DEN_Kl.fa	yhei	k141_8377	1773	340	18	320	81.250
../a3/DEN_Kl.fa	merr	k141_3405	456	340	73	335	99.701
../a3/DEN_Kl.fa	merr	k141_1392	456	421	67	304	90.789
../a3/DEN_Kl.fa	oqxb14	k141_7997	3153	759	24	746	87.802
../a3/DEN_Kl.fa	oqxb14	k141_3909	3153	484	15	484	87.603
../a3/DEN_Kl.fa	oqxb14	k141_3821	3153	330	10	330	88.182
../a3/DEN_Kl.fa	oqxb14	k141_6608	3153	1113	11	357	72.269
../a3/DEN_Kl.fa	oqxb14	k141_7497	3153	397	8	270	73.333
../a3/DEN_Kl.fa	oqxb19	k141_7997	3153	759	24	746	87.936
../a3/DEN_Kl.fa	oqxb19	k141_3909	3153	484	15	484	87.810
../a3/DEN_Kl.fa	oqxb19	k141_3821	3153	330	10	330	88.485
../a3/DEN_Kl.fa	oqxb19	k141_6608	3153	1113	11	357	72.549
../a3/DEN_Kl.fa	oqxb19	k141_7497	3153	397	8	270	73.704
../a3/DEN_Kl.fa	oqxb22	k141_7997	3153	759	24	746	87.936
../a3/DEN_Kl.fa	oqxb22	k141_3909	3153	484	15	484	87.397
../a3/DEN_Kl.fa	oqxb22	k141_3821	3153	330	10	330	88.182
../a3/DEN_Kl.fa	oqxb22	k141_6608	3153	1113	11	357	72.829
../a3/DEN_Kl.fa	oqxb22	k141_7497	3153	397	8	273	73.260
../a3/DEN_Kl.fa	oqxb25	k141_7997	3153	759	24	746	87.668
../a3/DEN_Kl.fa	oqxb25	k141_3909	3153	484	15	484	86.983
../a3/DEN_Kl.fa	oqxb25	k141_3821	3153	330	10	330	88.182
../a3/DEN_Kl.fa	oqxb25	k141_6608	3153	1113	11	357	71.989
../a3/DEN_Kl.fa	oqxb25	k141_7497	3153	397	8	270	72.963
../a3/DEN_Kl.fa	oqxb32	k141_7997	3153	759	24	746	87.936
../a3/DEN_Kl.fa	oqxb32	k141_3909	3153	484	15	484	87.810
../a3/DEN_Kl.fa	oqxb32	k141_3821	3153	330	10	330	88.485
../a3/DEN_Kl.fa	oqxb32	k141_6608	3153	1113	11	357	72.549
../a3/DEN_Kl.fa	oqxb32	k141_7497	3153	397	8	243	74.074
../a3/DEN_Kl.fa	oqxb5	k141_7997	3153	759	24	746	88.204
../a3/DEN_Kl.fa	oqxb5	k141_3909	3153	484	15	484	86.983
../a3/DEN_Kl.fa	oqxb5	k141_3821	3153	330	10	330	87.879
../a3/DEN_Kl.fa	oqxb5	k141_6608	3153	1113	7	238	74.370
../a3/DEN_Kl.fa	oqxb5	k141_7497	3153	397	8	270	73.333
../a3/DEN_Kl.fa	fosa9	k141_3871	620	1252	83	513	82.846
../a3/DEN_Kl.fa	oqxb9	k141_7997	3153	759	24	746	87.936
../a3/DEN_Kl.fa	oqxb9	k141_3909	3153	484	15	484	87.603
../a3/DEN_Kl.fa	oqxb9	k141_3821	3153	330	10	330	88.485
../a3/DEN_Kl.fa	oqxb9	k141_7497	3153	397	8	273	73.993
../a3/DEN_Kl.fa	merr	k141_3405	456	340	73	335	99.701
../a3/DEN_Kl.fa	merr	k141_1392	456	421	67	304	90.789
../a3/DEN_Kl.fa	yagx-ecpc	k141_3858	2526	1680	38	973	78.931
../a3/DEN_Kl.fa	yagw-ecpd	k141_4192	1644	600	36	600	90.167
